task_type,task_id,tool,time,precision,recall,f1
A,taskA_3qbv9hxal,with_tool,1,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,2,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,3,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,4,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,5,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,6,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,7,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,8,0.0,0.0,0.0
A,taskA_3qbv9hxal,with_tool,9,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,10,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,11,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,12,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,13,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,14,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,15,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,16,1.0,0.13,0.22
A,taskA_3qbv9hxal,with_tool,17,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,18,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,19,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,20,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,21,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,22,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,23,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,24,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,25,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,26,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,27,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,28,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,29,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,30,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,31,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,32,1.0,0.38,0.55
A,taskA_3qbv9hxal,with_tool,33,1.0,0.38,0.55
