task_type,task_id,tool,time,precision,recall,f1
B,taskB_1fkwy8yc9,with_tool,1,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,2,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,3,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,4,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,5,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,6,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,7,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,8,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,9,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,10,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,11,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,12,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,13,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,14,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,15,0.0,0.0,0.0
B,taskB_1fkwy8yc9,with_tool,16,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,17,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,18,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,19,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,20,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,21,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,22,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,23,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,24,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,25,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,26,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,27,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,28,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,29,0.3333333333333333,0.09090909090909091,0.14285714285714288
B,taskB_1fkwy8yc9,with_tool,30,0.3333333333333333,0.09090909090909091,0.14285714285714288
