task_type,task_id,tool,time,precision,recall,f1
A,taskA_mzh3niiiy,with_tool,1,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,2,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,3,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,4,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,5,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,6,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,7,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,8,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,9,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,10,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,11,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,12,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,13,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,14,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,15,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,16,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,17,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,18,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,19,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,20,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,21,0.0,0.0,0.0
A,taskA_mzh3niiiy,with_tool,22,1.0,0.13,0.22
A,taskA_mzh3niiiy,with_tool,23,1.0,0.13,0.22
A,taskA_mzh3niiiy,with_tool,24,1.0,0.13,0.22
A,taskA_mzh3niiiy,with_tool,25,1.0,0.13,0.22
A,taskA_mzh3niiiy,with_tool,26,1.0,0.13,0.22
A,taskA_mzh3niiiy,with_tool,27,1.0,0.13,0.22
A,taskA_mzh3niiiy,with_tool,28,1.0,0.13,0.22
